tractor_id,g,r,z,fwhm_or_rhalf,redshift
519697-1372,22.114818572998047,21.136913299560547,20.02406883239746,1.0283374786376953,0.7888180613517761
519697-1270,22.967899322509766,22.145103454589844,21.384105682373047,0.5,0.7711172103881836
519697-1125,22.971628189086914,22.445499420166016,21.775711059570312,1.6376065015792847,0.7769044041633606
519697-1387,22.428119659423828,21.77273941040039,20.632568359375,1.0371744632720947,0.9862203001976013
519696-1282,22.56595230102539,22.024824142456055,21.285722732543945,0.8459826111793518,0.8772771954536438
519696-1375,22.874052047729492,22.534156799316406,21.843233108520508,0.5,0.13175636529922485
519695-1200,22.925655364990234,21.977458953857422,21.169605255126953,0.5,1.2052409648895264
519695-1173,21.78200912475586,21.212310791015625,20.41399383544922,0.9896090030670166,0.05285739526152611
519695-982,22.057695388793945,21.53601837158203,20.725662231445312,1.7087106704711914,0.8551313281059265
519695-1009,22.087196350097656,21.123802185058594,19.98704719543457,1.0556707382202148,1.0254309177398682
519695-1152,23.021717071533203,22.72753143310547,22.195966720581055,1.6056853532791138,1.1423232555389404
519695-1083,22.601192474365234,22.168739318847656,21.133825302124023,0.971312403678894,0.9258289933204651
519694-1092,23.01067352294922,22.062358856201172,20.955242156982422,0.5,0.7964520454406738
519697-2375,22.905715942382812,22.380502700805664,21.00004005432129,0.5,1.0490776300430298
519697-2465,22.074710845947266,21.366918563842773,20.693483352661133,0.5,0.7621520757675171
519697-1854,22.86258888244629,22.053068161010742,20.567852020263672,0.8008375763893127,0.98792564868927
519696-2025,23.010631561279297,22.193281173706055,21.55226707458496,0.5,0.7292575240135193
519696-1690,22.719154357910156,22.269575119018555,20.91506004333496,1.286224603652954,0.9740632176399231
519696-2068,22.698078155517578,21.97476577758789,20.78310775756836,0.7026753425598145,0.9733371734619141
519696-2036,22.821895599365234,22.079063415527344,20.900100708007812,0.5,0.8670654296875
519696-2129,22.68020248413086,22.05731964111328,20.945804595947266,0.5,0.8778132796287537
519696-2052,22.86321449279785,22.61467933654785,21.817230224609375,0.5,0.9764511585235596
519696-1842,22.526798248291016,21.6411190032959,20.609519958496094,0.5,0.733261227607727
519696-2039,22.873252868652344,22.43798828125,21.706634521484375,0.8146277070045471,0.8773186802864075
519696-2083,22.99652862548828,22.517621994018555,21.320068359375,0.9825703501701355,1.0267196893692017
519695-1587,22.32003402709961,21.3822078704834,20.443527221679688,1.0593352317810059,0.7196226119995117
519695-2043,22.494298934936523,22.11026382446289,21.09917640686035,0.5,1.0433759689331055
519695-2160,22.93720054626465,22.410999298095703,21.293292999267578,0.5936393141746521,1.0026901960372925
519695-1830,22.58353042602539,22.305587768554688,21.80698585510254,0.5,1.0532758235931396
